,CaseNumber,Country,Century,Year,Month,Type,Activities,Fatal,Sex,Age
0,0_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,16.0
1,1_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,36.0
2,2_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,43.0
3,3_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
4,4_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
5,5_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Fishing,N,,
6,6_USA,USA,XXI,2016.0,Sep,Unprovoked,ShoreActivities,N,M,60.0
7,7_USA,USA,XXI,2016.0,Sep,Unprovoked,Swimming,N,F,51.0
8,8_New Caledonia,New Caledonia,XXI,2016.0,Sep,Unprovoked,Surfing,Y,M,50.0
9,9_USA,USA,XXI,2016.0,Sep,Unprovoked,WaterSkiing,N,F,12.0
10,10_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
11,11_USA,USA,XXI,2016.0,Sep,Unprovoked,WaterSkiing,N,M,
12,12_USA,USA,XXI,2016.0,Sep,Unprovoked,Spearfishing,N,M,22.0
13,13_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,25.0
14,14_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,37.0
15,15_Reunion,Reunion,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,20.0
16,16_USA,USA,XXI,2016.0,Aug,Unprovoked,ShoreActivities,N,M,49.0
17,17_Bahamas,Bahamas,XXI,2016.0,Aug,Unprovoked,Freediving,N,M,15.0
18,18_USA,USA,XXI,2016.0,Aug,Unprovoked,WaterSkiing,N,M,21.0
19,19_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,22.0
20,20_Others,Others,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,40.0
21,21_Others,Others,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,72.0
22,22_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Paddling,N,M,
23,23_USA,USA,XXI,2016.0,Jul,Provoked,Others,N,M,43.0
24,24_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,18.0
25,25_Others,Others,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,29.0
26,26_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,36.0
27,27_Bahamas,Bahamas,XXI,2016.0,Jul,Unprovoked,Spearfishing,N,M,
28,28_Australia,Australia,XXI,2016.0,Jul,Provoked,Fishing,N,M,31.0
29,29_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,,
30,30_USA,USA,XXI,2016.0,Jul,Unprovoked,Surfing,N,F,
31,31_USA,USA,XXI,2016.0,Jul,Unprovoked,,N,F,11.0
32,32_USA,USA,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,
33,33_Bahamas,Bahamas,XXI,2016.0,Jul,Unprovoked,Diving,N,M,
34,34_Others,Others,XXI,2016.0,Jul,Unprovoked,ShoreActivities,N,F,10.0
35,35_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,M,
36,36_USA,USA,XXI,2016.0,Jul,Provoked,Fishing,N,M,59.0
37,37_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,M,
38,38_USA,USA,XXI,2016.0,Jul,Unprovoked,Swimming,N,F,42.0
39,39_Australia,Australia,XXI,2016.0,Jul,Provoked,Fishing,N,M,34.0
40,40_USA,USA,XXI,2016.0,Jun,Unprovoked,,N,M,35.0
41,41_USA,USA,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,11.0
42,42_Others,Others,XXI,2016.0,Jun,Unprovoked,Diving,N,M,59.0
43,43_South Africa,South Africa,XXI,2016.0,Jun,Unprovoked,Spearfishing,N,M,43.0
44,44_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,42.0
45,45_USA,USA,XXI,2016.0,Jun,Unprovoked,ShoreActivities,N,M,
46,46_USA,USA,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,
47,47_Australia,Australia,XXI,2016.0,Jun,Provoked,Spearfishing,N,M,19.0
48,48_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,F,
49,49_USA,USA,XXI,2016.0,Jun,Unprovoked,ShoreActivities,N,M,19.0
50,50_USA,USA,XXI,2016.0,Jun,,Surfing,N,M,27.0
51,51_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,64.0
52,52_Australia,Australia,XXI,2016.0,Jun,Unprovoked,Diving,Y,F,60.0
53,53_Others,Others,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,23.0
54,54_Australia,Australia,XXI,2016.0,Jun,Unprovoked,Spearfishing,,M,
55,55_New Caledonia,New Caledonia,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,
56,56_Australia,Australia,XXI,2016.0,May,Unprovoked,Surfing,Y,M,29.0
57,57_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,52.0
58,58_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,13.0
59,59_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,57.0
60,60_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,22.0
61,61_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,11.0
62,62_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,48.0
63,63_USA,USA,XXI,2016.0,May,Provoked,Others,N,F,23.0
64,64_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,59.0
65,65_New Zealand,New Zealand,XXI,2016.0,May,Provoked,Fishing,N,M,39.0
66,66_Others,Others,XXI,2016.0,Apr,Unprovoked,Surfing,N,M,24.0
67,67_USA,USA,XXI,2016.0,Apr,Unprovoked,Surfing,N,M,15.0
68,68_South Africa,South Africa,XXI,2016.0,Apr,Unprovoked,WaterSkiing,N,M,
69,69_Australia,Australia,XXI,2016.0,Apr,Unprovoked,Swimming,N,M,12.0
70,70_Others,Others,XXI,2016.0,Apr,Provoked,Spearfishing,N,M,26.0
71,71_USA,USA,XXI,2016.0,Apr,Unprovoked,Spearfishing,N,M,26.0
72,72_New Caledonia,New Caledonia,XXI,2016.0,Apr,Unprovoked,ShoreActivities,Y,F,69.0
73,73_Others,Others,XXI,2016.0,Apr,,,N,M,60.0
74,74_USA,USA,XXI,2016.0,Apr,Unprovoked,Fishing,N,M,34.0
75,75_USA,USA,XXI,2016.0,Apr,,Others,N,M,
76,76_USA,USA,XXI,2016.0,Mar,Unprovoked,Freediving,N,F,46.0
77,77_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,22.0
78,78_USA,USA,XXI,2016.0,Mar,Unprovoked,,N,M,
79,79_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,41.0
80,80_Bahamas,Bahamas,XXI,2016.0,Mar,Provoked,,N,M,
81,81_USA,USA,XXI,2016.0,Mar,,Surfing,N,,
82,82_USA,USA,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,19.0
83,83_Others,Others,XXI,2016.0,Mar,Unprovoked,Diving,Y,M,45.0
84,84_USA,USA,XXI,2016.0,Mar,Unprovoked,,N,M,12.0
85,85_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Fishing,N,M,
86,86_Brazil,Brazil,XXI,2016.0,Mar,Unprovoked,Swimming,N,M,41.0
87,87_New Caledonia,New Caledonia,XXI,2016.0,Feb,Unprovoked,Surfing,N,M,21.0
88,88_New Caledonia,New Caledonia,XXI,2016.0,Feb,Unprovoked,Spearfishing,N,M,31.0
89,89_Others,Others,XXI,2016.0,Feb,Unprovoked,ShoreActivities,N,F,
90,90_Others,Others,XXI,2016.0,Feb,,Others,N,M,65.0
91,91_Australia,Australia,XXI,2016.0,Feb,,Surfing,N,M,
92,92_Australia,Australia,XXI,2016.0,Feb,Unprovoked,ShoreActivities,N,F,45.0
93,93_Australia,Australia,XXI,2016.0,Feb,Unprovoked,Windsurfing,N,M,40.0
94,94_South Africa,South Africa,XXI,2016.0,Jan,Unprovoked,Fishing,N,M,
95,95_USA,USA,XXI,2016.0,Jan,Unprovoked,Surfing,N,M,
96,96_USA,USA,XXI,2016.0,Jan,Unprovoked,Surfing,N,F,15.0
97,97_USA,USA,XXI,2016.0,Jan,Unprovoked,Spearfishing,N,M,
98,98_Others,Others,XXI,2016.0,Jan,Unprovoked,Fishing,N,M,
99,99_USA,USA,XXI,2016.0,Jan,Unprovoked,WaterSkiing,N,M,48.0
100,100_Australia,Australia,XXI,2016.0,Jan,Unprovoked,Surfing,N,M,
101,101_Australia,Australia,XXI,2016.0,Jan,Unprovoked,ShoreActivities,N,M,11.0
102,102_Australia,Australia,XXI,2016.0,Jan,Unprovoked,Spearfishing,N,M,31.0
103,103_South Africa,South Africa,XXI,2015.0,Dec,Unprovoked,Fishing,N,M,
104,104_Others,Others,XXI,2015.0,Dec,Unprovoked,Swimming,N,F,38.0
105,105_USA,USA,XXI,2015.0,Dec,Unprovoked,WaterSkiing,N,M,71.0
106,106_Australia,Australia,XXI,2015.0,Dec,Unprovoked,Surfing,N,M,43.0
107,107_Brazil,Brazil,XXI,2015.0,Dec,Unprovoked,Diving,N,M,32.0
108,108_Others,Others,XXI,2015.0,Dec,Unprovoked,Sinking,Y,M,58.0
109,109_Australia,Australia,XXI,2015.0,Dec,Unprovoked,Fishing,N,,
110,110_Bahamas,Bahamas,XXI,2015.0,Dec,Unprovoked,Fishing,N,M,26.0
111,111_South Africa,South Africa,XXI,2015.0,Dec,Unprovoked,Swimming,N,F,22.0
112,112_USA,USA,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,
113,113_USA,USA,XXI,2015.0,Nov,Unprovoked,Swimming,N,F,
114,114_USA,USA,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,28.0
115,115_Australia,Australia,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,20.0
116,116_USA,USA,XXI,2015.0,Nov,,Surfing,N,F,
117,117_USA,USA,XXI,2015.0,Nov,Unprovoked,Swimming,N,M,54.0
118,118_USA,USA,XXI,2015.0,Nov,Unprovoked,ShoreActivities,N,F,28.0
119,119_Others,Others,XXI,2015.0,Nov,Unprovoked,Fishing,N,M,19.0
120,120_Australia,Australia,XXI,2015.0,Oct,Unprovoked,Spearfishing,N,M,50.0
121,121_USA,USA,XXI,2015.0,Oct,Unprovoked,WaterSkiing,N,M,10.0
122,122_South Africa,South Africa,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,42.0
